date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:57	22383/22383	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:01%20GMT	https://rvas001.myportfolio.com/c	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/c.html	(from )
17:44:57	12379/12379	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:01%20GMT	https://rvas001.myportfolio.com/uxui-1	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/uxui-1.html	(from )
17:44:57	8951/8951	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:01%20GMT	https://rvas001.myportfolio.com/	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/index.html	(from )
17:44:57	32104/32104	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:01%20GMT	https://rvas001.myportfolio.com/javascript	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/javascript.html	(from )
17:44:57	21253/21253	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:01%20GMT	https://rvas001.myportfolio.com/other-languagesprojects	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/other-languagesprojects.html	(from )
17:44:58	13668/13668	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:02%20GMT	https://rvas001.myportfolio.com/contact	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/contact.html	(from )
17:44:58	8951/8951	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2017:45:02%20GMT	https://rvas001.myportfolio.com/work	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/work.html	(from )
17:44:58	76/76	---M--	200	added ('OK')	text/plain	date:Mon,%2016%20Dec%202024%2017:45:02%20GMT	https://rvas001.myportfolio.com/robots.txt		(from )
17:44:58	11553/11553	---M--	200	added ('OK')	text/css	etag:%22674dea4e-2d21%22	https://rvas001.myportfolio.com/dist/css/main.css	C:/Users/kivir/Documents/portfolio/scrap/backup2/rvas001.myportfolio.com/dist/css/main.css	(from https://rvas001.myportfolio.com/)
17:44:59	42337/42337	---M--	200	added ('OK')	text/css	etag:bd8faaac57867c7e44d7c58fd8a3d400	https://cdn.myportfolio.com/d3ec2f36-33a1-4fff-929d-9a88aa3914e2/466265c3a2557c7bb0068effaf024ad31734365434.css?h=dbc056bee9d80939b1919300422d84b0	C:/Users/kivir/Documents/portfolio/scrap/backup2/cdn.myportfolio.com/d3ec2f36-33a1-4fff-929d-9a88aa3914e2/466265c3a2557c7bb0068effaf024ad317343654341693.css	(from https://rvas001.myportfolio.com/)
